".record.id","SampleID","feature","Abundance"
"DrugBefore_NO.1","DrugBefore_NO.1","Parabacteroides",0.00922531613417244
"DrugBefore_NO.2","DrugBefore_NO.2","Parabacteroides",0.0508981190640637
"DrugBefore_NO.3","DrugBefore_NO.3","Parabacteroides",0.00772603695403203
"DrugBefore_NO.4","DrugBefore_NO.4","Parabacteroides",0.00154849785089792
"DrugBefore_YES.1","DrugBefore_YES.1","Parabacteroides",0.0134053178234376
"DrugBefore_YES.2","DrugBefore_YES.2","Parabacteroides",0.0290425351855797
"DrugBefore_YES.3","DrugBefore_YES.3","Parabacteroides",0.0610407474928223
"DrugBefore_YES.4","DrugBefore_YES.4","Parabacteroides",0.0348219198957217
"DrugBefore_NO.1","DrugBefore_NO.1","Lachnospiracea_incertae_sedis",0.0105846589603418
"DrugBefore_NO.2","DrugBefore_NO.2","Lachnospiracea_incertae_sedis",0.0226705877022937
"DrugBefore_NO.3","DrugBefore_NO.3","Lachnospiracea_incertae_sedis",0.0897316153671246
"DrugBefore_NO.4","DrugBefore_NO.4","Lachnospiracea_incertae_sedis",0.094238957131026
"DrugBefore_YES.1","DrugBefore_YES.1","Lachnospiracea_incertae_sedis",0.0157970453185745
"DrugBefore_YES.2","DrugBefore_YES.2","Lachnospiracea_incertae_sedis",0.0275556840164436
"DrugBefore_YES.3","DrugBefore_YES.3","Lachnospiracea_incertae_sedis",0.0274727778843938
"DrugBefore_YES.4","DrugBefore_YES.4","Lachnospiracea_incertae_sedis",0.0246525926085038
"DrugBefore_NO.1","DrugBefore_NO.1","Alistipes",0.0706149030886832
"DrugBefore_NO.2","DrugBefore_NO.2","Alistipes",0.0201792101613235
"DrugBefore_NO.3","DrugBefore_NO.3","Alistipes",0.00126317819071318
"DrugBefore_NO.4","DrugBefore_NO.4","Alistipes",0.00220956993671071
"DrugBefore_YES.1","DrugBefore_YES.1","Alistipes",0.0146220017173688
"DrugBefore_YES.2","DrugBefore_YES.2","Alistipes",0.043798172122214
"DrugBefore_YES.3","DrugBefore_YES.3","Alistipes",0.0128216122438166
"DrugBefore_YES.4","DrugBefore_YES.4","Alistipes",0.0171608757490264
"DrugBefore_NO.1","DrugBefore_NO.1","Blautia",0.0147307606170317
"DrugBefore_NO.2","DrugBefore_NO.2","Blautia",0.0314574264830512
"DrugBefore_NO.3","DrugBefore_NO.3","Blautia",0.045233355488493
"DrugBefore_NO.4","DrugBefore_NO.4","Blautia",0.0121348475405615
"DrugBefore_YES.1","DrugBefore_YES.1","Blautia",0.0128444514515566
"DrugBefore_YES.2","DrugBefore_YES.2","Blautia",0.0135094377590445
"DrugBefore_YES.3","DrugBefore_YES.3","Blautia",0.0152080762601187
"DrugBefore_YES.4","DrugBefore_YES.4","Blautia",0.00844251340794423
"DrugBefore_NO.1","DrugBefore_NO.1","Roseburia",0.00661058346037592
"DrugBefore_NO.2","DrugBefore_NO.2","Roseburia",0.0223704546625191
"DrugBefore_NO.3","DrugBefore_NO.3","Roseburia",0.0171850485229058
"DrugBefore_NO.4","DrugBefore_NO.4","Roseburia",0.0536714950683657
"DrugBefore_YES.1","DrugBefore_YES.1","Roseburia",0.00515796530688756
"DrugBefore_YES.2","DrugBefore_YES.2","Roseburia",0.0133195535720023
"DrugBefore_YES.3","DrugBefore_YES.3","Roseburia",0.0122428333677942
"DrugBefore_YES.4","DrugBefore_YES.4","Roseburia",0.0191417509720182
"DrugBefore_NO.1","DrugBefore_NO.1","Unclassified_Clostridiales",0.0225680925800123
"DrugBefore_NO.2","DrugBefore_NO.2","Unclassified_Clostridiales",0.0120932330203742
"DrugBefore_NO.3","DrugBefore_NO.3","Unclassified_Clostridiales",0.0582591144903863
"DrugBefore_NO.4","DrugBefore_NO.4","Unclassified_Clostridiales",0.0172913014983131
"DrugBefore_YES.1","DrugBefore_YES.1","Unclassified_Clostridiales",0.00711343683593572
"DrugBefore_YES.2","DrugBefore_YES.2","Unclassified_Clostridiales",0.00640270683003344
"DrugBefore_YES.3","DrugBefore_YES.3","Unclassified_Clostridiales",0.00960639608321323
"DrugBefore_YES.4","DrugBefore_YES.4","Unclassified_Clostridiales",0.00550848082314076
"DrugBefore_NO.1","DrugBefore_NO.1","Lactobacillus",0.000444289602171121
"DrugBefore_NO.2","DrugBefore_NO.2","Lactobacillus",0.0527449436112728
"DrugBefore_NO.3","DrugBefore_NO.3","Lactobacillus",0.000994224905585165
"DrugBefore_NO.4","DrugBefore_NO.4","Lactobacillus",0.0034064109055763
"DrugBefore_YES.1","DrugBefore_YES.1","Lactobacillus",0
"DrugBefore_YES.2","DrugBefore_YES.2","Lactobacillus",6.38458003950938e-05
"DrugBefore_YES.3","DrugBefore_YES.3","Lactobacillus",0
"DrugBefore_YES.4","DrugBefore_YES.4","Lactobacillus",0
"DrugBefore_NO.1","DrugBefore_NO.1","Clostridium_XI",0.0249587366840087
"DrugBefore_NO.2","DrugBefore_NO.2","Clostridium_XI",0.00518563950409192
"DrugBefore_NO.3","DrugBefore_NO.3","Clostridium_XI",0.00472902916043415
"DrugBefore_NO.4","DrugBefore_NO.4","Clostridium_XI",0.0157133682959299
"DrugBefore_YES.1","DrugBefore_YES.1","Clostridium_XI",0.00277256491688091
"DrugBefore_YES.2","DrugBefore_YES.2","Clostridium_XI",0.00831353329052554
"DrugBefore_YES.3","DrugBefore_YES.3","Clostridium_XI",0.00798699898375395
"DrugBefore_YES.4","DrugBefore_YES.4","Clostridium_XI",0.018238104555669
"DrugBefore_NO.1","DrugBefore_NO.1","Erysipelotrichaceae_incertae_sedis",0.021533617054808
"DrugBefore_NO.2","DrugBefore_NO.2","Erysipelotrichaceae_incertae_sedis",0.00177482593858148
"DrugBefore_NO.3","DrugBefore_NO.3","Erysipelotrichaceae_incertae_sedis",0.0165227038011294
"DrugBefore_NO.4","DrugBefore_NO.4","Erysipelotrichaceae_incertae_sedis",0.00779667288490073
"DrugBefore_YES.1","DrugBefore_YES.1","Erysipelotrichaceae_incertae_sedis",0.00202131235117875
"DrugBefore_YES.2","DrugBefore_YES.2","Erysipelotrichaceae_incertae_sedis",0.000856860073893859
"DrugBefore_YES.3","DrugBefore_YES.3","Erysipelotrichaceae_incertae_sedis",0.00271742114370128
"DrugBefore_YES.4","DrugBefore_YES.4","Erysipelotrichaceae_incertae_sedis",0.00154760537908098
"DrugBefore_NO.1","DrugBefore_NO.1","Enterococcus",0.00616681782928066
"DrugBefore_NO.2","DrugBefore_NO.2","Enterococcus",0.000499172694995726
"DrugBefore_NO.3","DrugBefore_NO.3","Enterococcus",0.000451135068111851
"DrugBefore_NO.4","DrugBefore_NO.4","Enterococcus",1.75578745458571e-05
"DrugBefore_YES.1","DrugBefore_YES.1","Enterococcus",0.00020435305125236
"DrugBefore_YES.2","DrugBefore_YES.2","Enterococcus",0.0201561970845341
"DrugBefore_YES.3","DrugBefore_YES.3","Enterococcus",0.000133512621607772
"DrugBefore_YES.4","DrugBefore_YES.4","Enterococcus",0.000243588082496933
"DrugBefore_NO.1","DrugBefore_NO.1","Unclassified_Ruminococcaceae",0.030220407358418
"DrugBefore_NO.2","DrugBefore_NO.2","Unclassified_Ruminococcaceae",0.0142220356737115
"DrugBefore_NO.3","DrugBefore_NO.3","Unclassified_Ruminococcaceae",0.00914350819692565
"DrugBefore_NO.4","DrugBefore_NO.4","Unclassified_Ruminococcaceae",0.0236766621467461
"DrugBefore_YES.1","DrugBefore_YES.1","Unclassified_Ruminococcaceae",0.00919508068945462
"DrugBefore_YES.2","DrugBefore_YES.2","Unclassified_Ruminococcaceae",0.00446854768940541
"DrugBefore_YES.3","DrugBefore_YES.3","Unclassified_Ruminococcaceae",0.0109392914188911
"DrugBefore_YES.4","DrugBefore_YES.4","Unclassified_Ruminococcaceae",0.0112721535923248
"DrugBefore_NO.1","DrugBefore_NO.1","Sutterella",0.00314554341536223
"DrugBefore_NO.2","DrugBefore_NO.2","Sutterella",0.0136510936617705
"DrugBefore_NO.3","DrugBefore_NO.3","Sutterella",9.02270136223702e-05
"DrugBefore_NO.4","DrugBefore_NO.4","Sutterella",0.00679134488101235
"DrugBefore_YES.1","DrugBefore_YES.1","Sutterella",0.00218706040511488
"DrugBefore_YES.2","DrugBefore_YES.2","Sutterella",0.00836125910055835
"DrugBefore_YES.3","DrugBefore_YES.3","Sutterella",0.0236473011886997
"DrugBefore_YES.4","DrugBefore_YES.4","Sutterella",0.014928042856034
"DrugBefore_NO.1","DrugBefore_NO.1","Escherichia_Shigella",0.0078015490189084
"DrugBefore_NO.2","DrugBefore_NO.2","Escherichia_Shigella",0.000970301517212395
"DrugBefore_NO.3","DrugBefore_NO.3","Escherichia_Shigella",0.00191558134639137
"DrugBefore_NO.4","DrugBefore_NO.4","Escherichia_Shigella",0.000149919584306483
"DrugBefore_YES.1","DrugBefore_YES.1","Escherichia_Shigella",0.00461989472850499
"DrugBefore_YES.2","DrugBefore_YES.2","Escherichia_Shigella",1.82019886430591e-05
"DrugBefore_YES.3","DrugBefore_YES.3","Escherichia_Shigella",0.0015049204351822
"DrugBefore_YES.4","DrugBefore_YES.4","Escherichia_Shigella",0.0172289821378066
"DrugBefore_NO.1","DrugBefore_NO.1","Megamonas",6.14283756780863e-06
"DrugBefore_NO.2","DrugBefore_NO.2","Megamonas",0.057853010078974
"DrugBefore_NO.3","DrugBefore_NO.3","Megamonas",0.0093836094167265
"DrugBefore_NO.4","DrugBefore_NO.4","Megamonas",0.00204559171663399
"DrugBefore_YES.1","DrugBefore_YES.1","Megamonas",0.00186505752421374
"DrugBefore_YES.2","DrugBefore_YES.2","Megamonas",0
"DrugBefore_YES.3","DrugBefore_YES.3","Megamonas",0
"DrugBefore_YES.4","DrugBefore_YES.4","Megamonas",0.00013419983324782
"DrugBefore_NO.1","DrugBefore_NO.1","Ruminococcus",0.00613407629327309
"DrugBefore_NO.2","DrugBefore_NO.2","Ruminococcus",0.00966735134238021
"DrugBefore_NO.3","DrugBefore_NO.3","Ruminococcus",0.0292871945054786
"DrugBefore_NO.4","DrugBefore_NO.4","Ruminococcus",0.0310221916946891
"DrugBefore_YES.1","DrugBefore_YES.1","Ruminococcus",0.00814598659335459
"DrugBefore_YES.2","DrugBefore_YES.2","Ruminococcus",0.00349116507971639
"DrugBefore_YES.3","DrugBefore_YES.3","Ruminococcus",0.00352164940511456
"DrugBefore_YES.4","DrugBefore_YES.4","Ruminococcus",0.00336347062120716
"DrugBefore_NO.1","DrugBefore_NO.1","Clostridium_XlVa",0.00848913260955191
"DrugBefore_NO.2","DrugBefore_NO.2","Clostridium_XlVa",0.0024011831181828
"DrugBefore_NO.3","DrugBefore_NO.3","Clostridium_XlVa",0.0138732189214554
"DrugBefore_NO.4","DrugBefore_NO.4","Clostridium_XlVa",0.00759357411377107
"DrugBefore_YES.1","DrugBefore_YES.1","Clostridium_XlVa",0.00567708971269696
"DrugBefore_YES.2","DrugBefore_YES.2","Clostridium_XlVa",0.00244041696282767
"DrugBefore_YES.3","DrugBefore_YES.3","Clostridium_XlVa",0.00376317854311043
"DrugBefore_YES.4","DrugBefore_YES.4","Clostridium_XlVa",0.00476421835579407
"DrugBefore_NO.1","DrugBefore_NO.1","Haemophilus",0.000596571831033193
"DrugBefore_NO.2","DrugBefore_NO.2","Haemophilus",0.00211810803737607
"DrugBefore_NO.3","DrugBefore_NO.3","Haemophilus",0.0113207726346996
"DrugBefore_NO.4","DrugBefore_NO.4","Haemophilus",0.00784191472161662
"DrugBefore_YES.1","DrugBefore_YES.1","Haemophilus",0.000102814079211712
"DrugBefore_YES.2","DrugBefore_YES.2","Haemophilus",0.000384720808283743
"DrugBefore_YES.3","DrugBefore_YES.3","Haemophilus",0.00143290567713057
"DrugBefore_YES.4","DrugBefore_YES.4","Haemophilus",0.00510388508220707
"DrugBefore_NO.1","DrugBefore_NO.1","Unclassified_Bacteroidales",0.00326002580866649
"DrugBefore_NO.2","DrugBefore_NO.2","Unclassified_Bacteroidales",0.0136012829645909
"DrugBefore_NO.3","DrugBefore_NO.3","Unclassified_Bacteroidales",0.00185975273426054
"DrugBefore_NO.4","DrugBefore_NO.4","Unclassified_Bacteroidales",0.000572641083553282
"DrugBefore_YES.1","DrugBefore_YES.1","Unclassified_Bacteroidales",0.00380883642876706
"DrugBefore_YES.2","DrugBefore_YES.2","Unclassified_Bacteroidales",0.00251676082376656
"DrugBefore_YES.3","DrugBefore_YES.3","Unclassified_Bacteroidales",0.00329650160879484
"DrugBefore_YES.4","DrugBefore_YES.4","Unclassified_Bacteroidales",0.00403717433251705
"DrugBefore_NO.1","DrugBefore_NO.1","Unclassified_Bacteria",0.0218468252372297
"DrugBefore_NO.2","DrugBefore_NO.2","Unclassified_Bacteria",0.00294891367895355
"DrugBefore_NO.3","DrugBefore_NO.3","Unclassified_Bacteria",0.00540405925187588
"DrugBefore_NO.4","DrugBefore_NO.4","Unclassified_Bacteria",0.00617642774861001
"DrugBefore_YES.1","DrugBefore_YES.1","Unclassified_Bacteria",0.00533099320912454
"DrugBefore_YES.2","DrugBefore_YES.2","Unclassified_Bacteria",0.00227028683561476
"DrugBefore_YES.3","DrugBefore_YES.3","Unclassified_Bacteria",0.00310373235926708
"DrugBefore_YES.4","DrugBefore_YES.4","Unclassified_Bacteria",0.00433884655784039
"DrugBefore_NO.1","DrugBefore_NO.1","Unclassified_Firmicutes",0.0024736476690799
"DrugBefore_NO.2","DrugBefore_NO.2","Unclassified_Firmicutes",0.0147500964776893
"DrugBefore_NO.3","DrugBefore_NO.3","Unclassified_Firmicutes",0.0223715811612609
"DrugBefore_NO.4","DrugBefore_NO.4","Unclassified_Firmicutes",0.0108612369468581
"DrugBefore_YES.1","DrugBefore_YES.1","Unclassified_Firmicutes",0.00355112812487186
"DrugBefore_YES.2","DrugBefore_YES.2","Unclassified_Firmicutes",0.000964204939655691
"DrugBefore_YES.3","DrugBefore_YES.3","Unclassified_Firmicutes",0.00109246371568415
"DrugBefore_YES.4","DrugBefore_YES.4","Unclassified_Firmicutes",0.000774983357471797
"DrugBefore_NO.1","DrugBefore_NO.1","Clostridium_XVIII",0.00349226206731586
"DrugBefore_NO.2","DrugBefore_NO.2","Clostridium_XVIII",0.0045062435063045
"DrugBefore_NO.3","DrugBefore_NO.3","Clostridium_XVIII",0.0166296443467635
"DrugBefore_NO.4","DrugBefore_NO.4","Clostridium_XVIII",0.00428442418953397
"DrugBefore_YES.1","DrugBefore_YES.1","Clostridium_XVIII",0.00460373424876259
"DrugBefore_YES.2","DrugBefore_YES.2","Clostridium_XVIII",0.00133474097571612
"DrugBefore_YES.3","DrugBefore_YES.3","Clostridium_XVIII",0.00225159781158698
"DrugBefore_YES.4","DrugBefore_YES.4","Clostridium_XVIII",0.0021602637458671
"DrugBefore_NO.1","DrugBefore_NO.1","Veillonella",0.00142055857202169
"DrugBefore_NO.2","DrugBefore_NO.2","Veillonella",0.00436351876047651
"DrugBefore_NO.3","DrugBefore_NO.3","Veillonella",0.0175412240444565
"DrugBefore_NO.4","DrugBefore_NO.4","Veillonella",0.00593824965064486
"DrugBefore_YES.1","DrugBefore_YES.1","Veillonella",0.000270852804242451
"DrugBefore_YES.2","DrugBefore_YES.2","Veillonella",0.0021064776983275
"DrugBefore_YES.3","DrugBefore_YES.3","Veillonella",0.000593728134468433
"DrugBefore_YES.4","DrugBefore_YES.4","Veillonella",7.18759057956041e-05
"DrugBefore_NO.1","DrugBefore_NO.1","Dorea",0.00684343772682367
"DrugBefore_NO.2","DrugBefore_NO.2","Dorea",0.00307504219412637
"DrugBefore_NO.3","DrugBefore_NO.3","Dorea",0.00840538333130033
"DrugBefore_NO.4","DrugBefore_NO.4","Dorea",0.00288391915320087
"DrugBefore_YES.1","DrugBefore_YES.1","Dorea",0.00169634023286567
"DrugBefore_YES.2","DrugBefore_YES.2","Dorea",0.000679952202542767
"DrugBefore_YES.3","DrugBefore_YES.3","Dorea",0.00188876358170345
"DrugBefore_YES.4","DrugBefore_YES.4","Dorea",0.00224600153207748
"DrugBefore_NO.1","DrugBefore_NO.1","Akkermansia",0.00793652782641173
"DrugBefore_NO.2","DrugBefore_NO.2","Akkermansia",0.000871589762268606
"DrugBefore_NO.3","DrugBefore_NO.3","Akkermansia",0.000270681040867111
"DrugBefore_NO.4","DrugBefore_NO.4","Akkermansia",2.67397610017516e-05
"DrugBefore_YES.1","DrugBefore_YES.1","Akkermansia",0.00450515609441218
"DrugBefore_YES.2","DrugBefore_YES.2","Akkermansia",0.000424661680480915
"DrugBefore_YES.3","DrugBefore_YES.3","Akkermansia",0.000445043809818137
"DrugBefore_YES.4","DrugBefore_YES.4","Akkermansia",0
"DrugBefore_NO.1","DrugBefore_NO.1","Unclassified_Clostridiaceae_1",0.000672489772216309
"DrugBefore_NO.2","DrugBefore_NO.2","Unclassified_Clostridiaceae_1",0.000124512823181229
"DrugBefore_NO.3","DrugBefore_NO.3","Unclassified_Clostridiaceae_1",0.0291987952228983
"DrugBefore_NO.4","DrugBefore_NO.4","Unclassified_Clostridiaceae_1",0.00228596354940199
"DrugBefore_YES.1","DrugBefore_YES.1","Unclassified_Clostridiaceae_1",5.34044105504482e-05
"DrugBefore_YES.2","DrugBefore_YES.2","Unclassified_Clostridiaceae_1",0.000327049967979929
"DrugBefore_YES.3","DrugBefore_YES.3","Unclassified_Clostridiaceae_1",0.000146179230455594
"DrugBefore_YES.4","DrugBefore_YES.4","Unclassified_Clostridiaceae_1",0.000312113755010543
"DrugBefore_NO.1","DrugBefore_NO.1","Clostridium_IV",0.00693091351975149
"DrugBefore_NO.2","DrugBefore_NO.2","Clostridium_IV",0.00359276933024716
"DrugBefore_NO.3","DrugBefore_NO.3","Clostridium_IV",0.00333278089544762
"DrugBefore_NO.4","DrugBefore_NO.4","Clostridium_IV",0.0224606712647844
"DrugBefore_YES.1","DrugBefore_YES.1","Clostridium_IV",0.00565466466767245
"DrugBefore_YES.2","DrugBefore_YES.2","Clostridium_IV",0.0029991133619811
"DrugBefore_YES.3","DrugBefore_YES.3","Clostridium_IV",0.00301648907592951
"DrugBefore_YES.4","DrugBefore_YES.4","Clostridium_IV",0.00438929483219671
"DrugBefore_NO.1","DrugBefore_NO.1","Clostridium_sensu_stricto",0.00475788562495996
"DrugBefore_NO.2","DrugBefore_NO.2","Clostridium_sensu_stricto",1.33142268036896e-05
"DrugBefore_NO.3","DrugBefore_NO.3","Clostridium_sensu_stricto",0.0116074638352021
"DrugBefore_NO.4","DrugBefore_NO.4","Clostridium_sensu_stricto",0.00201204300685673
"DrugBefore_YES.1","DrugBefore_YES.1","Clostridium_sensu_stricto",0.00353084644570438
"DrugBefore_YES.2","DrugBefore_YES.2","Clostridium_sensu_stricto",0.000737793016684659
"DrugBefore_YES.3","DrugBefore_YES.3","Clostridium_sensu_stricto",0.000244143320489959
"DrugBefore_YES.4","DrugBefore_YES.4","Clostridium_sensu_stricto",0.00267226542600627
"DrugBefore_NO.1","DrugBefore_NO.1","Streptococcus",0.00257381721278485
"DrugBefore_NO.2","DrugBefore_NO.2","Streptococcus",0.0022296272806676
"DrugBefore_NO.3","DrugBefore_NO.3","Streptococcus",0.0135507865620471
"DrugBefore_NO.4","DrugBefore_NO.4","Streptococcus",0.00213511335969865
"DrugBefore_YES.1","DrugBefore_YES.1","Streptococcus",0.000582329070356819
"DrugBefore_YES.2","DrugBefore_YES.2","Streptococcus",0.000681510501752216
"DrugBefore_YES.3","DrugBefore_YES.3","Streptococcus",0.000875923268554196
"DrugBefore_YES.4","DrugBefore_YES.4","Streptococcus",0.00032724783447177
"DrugBefore_NO.1","DrugBefore_NO.1","Turicibacter",0.00294970613691752
"DrugBefore_NO.2","DrugBefore_NO.2","Turicibacter",0.000124512823181229
"DrugBefore_NO.3","DrugBefore_NO.3","Turicibacter",0.000315117888520305
"DrugBefore_NO.4","DrugBefore_NO.4","Turicibacter",0.00501685768230299
"DrugBefore_YES.1","DrugBefore_YES.1","Turicibacter",0.000135598372090453
"DrugBefore_YES.2","DrugBefore_YES.2","Turicibacter",0.00170992391547688
"DrugBefore_YES.3","DrugBefore_YES.3","Turicibacter",0.000523934186090982
"DrugBefore_YES.4","DrugBefore_YES.4","Turicibacter",0.000219638427272683
"DrugBefore_NO.1","DrugBefore_NO.1","Klebsiella",0.000479070070683993
"DrugBefore_NO.2","DrugBefore_NO.2","Klebsiella",0.000259316371118041
"DrugBefore_NO.3","DrugBefore_NO.3","Klebsiella",0.00989982153261939
"DrugBefore_NO.4","DrugBefore_NO.4","Klebsiella",0.000341008587883192
"DrugBefore_YES.1","DrugBefore_YES.1","Klebsiella",1.18991615005325e-05
"DrugBefore_YES.2","DrugBefore_YES.2","Klebsiella",2.25799441119345e-05
"DrugBefore_YES.3","DrugBefore_YES.3","Klebsiella",0
"DrugBefore_YES.4","DrugBefore_YES.4","Klebsiella",0.00278847933916006
"DrugBefore_NO.1","DrugBefore_NO.1","Bifidobacterium",0.00122299298580766
"DrugBefore_NO.2","DrugBefore_NO.2","Bifidobacterium",0.000601283749974383
"DrugBefore_NO.3","DrugBefore_NO.3","Bifidobacterium",0.00196218508524054
"DrugBefore_NO.4","DrugBefore_NO.4","Bifidobacterium",0.00168904419746262
"DrugBefore_YES.1","DrugBefore_YES.1","Bifidobacterium",0.00103790053045883
"DrugBefore_YES.2","DrugBefore_YES.2","Bifidobacterium",0.000568693267868458
"DrugBefore_YES.3","DrugBefore_YES.3","Bifidobacterium",0.0029061048900923
"DrugBefore_YES.4","DrugBefore_YES.4","Bifidobacterium",0.00189692641792574
"DrugBefore_NO.1","DrugBefore_NO.1","Flavonifractor",0.00277962922420132
"DrugBefore_NO.2","DrugBefore_NO.2","Flavonifractor",0.00203344724231326
"DrugBefore_NO.3","DrugBefore_NO.3","Flavonifractor",0.00427043326827975
"DrugBefore_NO.4","DrugBefore_NO.4","Flavonifractor",0.00244619008935265
"DrugBefore_YES.1","DrugBefore_YES.1","Flavonifractor",0.00251932266972294
"DrugBefore_YES.2","DrugBefore_YES.2","Flavonifractor",0.00173495794615658
"DrugBefore_YES.3","DrugBefore_YES.3","Flavonifractor",0.00181943518184112
"DrugBefore_YES.4","DrugBefore_YES.4","Flavonifractor",0.00117739274215284
"DrugBefore_NO.1","DrugBefore_NO.1","Barnesiella",0.00165850694159083
"DrugBefore_NO.2","DrugBefore_NO.2","Barnesiella",0.00408032434250206
"DrugBefore_NO.3","DrugBefore_NO.3","Barnesiella",0
"DrugBefore_NO.4","DrugBefore_NO.4","Barnesiella",0.000641754264042037
"DrugBefore_YES.1","DrugBefore_YES.1","Barnesiella",0.000167336612616769
"DrugBefore_YES.2","DrugBefore_YES.2","Barnesiella",1.01076855417676e-05
"DrugBefore_YES.3","DrugBefore_YES.3","Barnesiella",0.00593901439534706
"DrugBefore_YES.4","DrugBefore_YES.4","Barnesiella",2.29203209565119e-05
"DrugBefore_NO.1","DrugBefore_NO.1","Gemmiger",0.00191153946639413
"DrugBefore_NO.2","DrugBefore_NO.2","Gemmiger",0.00217391916948927
"DrugBefore_NO.3","DrugBefore_NO.3","Gemmiger",0.000133430462874504
"DrugBefore_NO.4","DrugBefore_NO.4","Gemmiger",0.000739511751020044
"DrugBefore_YES.1","DrugBefore_YES.1","Gemmiger",0.00234785777076117
"DrugBefore_YES.2","DrugBefore_YES.2","Gemmiger",0.00698605800843932
"DrugBefore_YES.3","DrugBefore_YES.3","Gemmiger",0.00457096077834163
"DrugBefore_YES.4","DrugBefore_YES.4","Gemmiger",0.00429262556684035
"DrugBefore_NO.1","DrugBefore_NO.1","Phascolarctobacterium",0.00201476346350091
"DrugBefore_NO.2","DrugBefore_NO.2","Phascolarctobacterium",0.000825250307461864
"DrugBefore_NO.3","DrugBefore_NO.3","Phascolarctobacterium",0
"DrugBefore_NO.4","DrugBefore_NO.4","Phascolarctobacterium",6.62617303711413e-06
"DrugBefore_YES.1","DrugBefore_YES.1","Phascolarctobacterium",0.000964942936857089
"DrugBefore_YES.2","DrugBefore_YES.2","Phascolarctobacterium",0.00204403458219762
"DrugBefore_YES.3","DrugBefore_YES.3","Phascolarctobacterium",0.00951473416849679
"DrugBefore_YES.4","DrugBefore_YES.4","Phascolarctobacterium",0.0078721754938928
"DrugBefore_NO.1","DrugBefore_NO.1","Unclassified_Burkholderiales",0.00286466294723975
"DrugBefore_NO.2","DrugBefore_NO.2","Unclassified_Burkholderiales",0
"DrugBefore_NO.3","DrugBefore_NO.3","Unclassified_Burkholderiales",0
"DrugBefore_NO.4","DrugBefore_NO.4","Unclassified_Burkholderiales",1.98785191113424e-05
"DrugBefore_YES.1","DrugBefore_YES.1","Unclassified_Burkholderiales",0.00172183301387093
"DrugBefore_YES.2","DrugBefore_YES.2","Unclassified_Burkholderiales",0.00824519647635669
"DrugBefore_YES.3","DrugBefore_YES.3","Unclassified_Burkholderiales",4.39785229448414e-05
"DrugBefore_YES.4","DrugBefore_YES.4","Unclassified_Burkholderiales",0
"DrugBefore_NO.1","DrugBefore_NO.1","Odoribacter",0.00314439157262845
